Name                       Version                         Rev    Tracking         Publisher       Notes
bare                       1.0                             5      latest/stable    canonical**     base
chromium                   152.0.7977.64                   3520   latest/stable    canonical**     -
core22                     20260410                        2437   latest/stable    canonical**     base
core24                     20260824                        2124   latest/stable    canonical**     base
cups                       2.4.19-2                        1225   latest/stable    openprinting**  -
gnome-42-2204              0+git.4982e7b-sdk0+git.69b626a  263    latest/stable/…  canonical**     -
gnome-46-2404              0+git.f1cd5fa-sdk0+git.ca9c59c  153    latest/stable    canonical**     -
gtk-common-themes          0.1-81-g442e511                 1535   latest/stable/…  canonical**     -
mesa-2404                  25.2.8-snap288                  1839   latest/stable    canonical**     -
snap-store                 41.3-72-g80e7130                1216   latest/stable/…  canonical**     -
snapd                      2.76.3                          27738  latest/stable    canonical**     snapd
snapd-desktop-integration  0.9                             391    latest/stable/…  canonical**     -
